-102.368,-258.721,-57.9469,1,3
-104.676,-264.466,-125.107,1,3
-111.197,-270.406,-139.252,1,3
-117.76,-276.603,-140.142,1,3
-124.322,-283.062,-134.063,1,3
-130.861,-289.429,-135.821,1,3
-135.656,-297.195,-68.9669,1,3
-131.762,-305.367,-83.9708,1,3
-137.143,-312.693,-135.731,1,3
-137.349,-312.92,-138.327,1,3
-141.056,-321.553,-128.598,1,3
-147.567,-328.027,-141.71,1,3
-152.916,-333.802,-131.641,1,3
-154.155,-339.921,-100.193,1,3
-160.678,-347.361,-132.254,1,3
-167.231,-354.12,-132.762,1,3
-173.253,-360.921,-133.844,1,3
-180.35,-366.951,-172.377,1,3
-189.358,-364.197,136.919,1,3
-195.8,-357.58,137.121,1,3
-202.363,-351.373,135.477,1,3
-209.069,-344.943,133.125,1,3
-215.501,-338.072,133.805,1,3
-222.312,-331.241,136.102,1,3
-229.107,-324.663,133.918,1,3
-235.442,-318.222,134.035,1,3
-241.363,-311.116,92.8839,1,3
-240.506,-301.703,93.7496,1,3
-246.022,-294.343,136.033,1,3
-251.168,-286.798,101.537,1,3
-253.822,-278.133,128.991,1,3
-260.69,-271.787,138.608,1,3
-252.41,-276.654,-32.4972,1,3
-247.426,-284.371,-72.8128,1,3
-242.758,-292.365,-60.9906,1,3
-239.997,-301.402,-91.9683,1,3
-240.695,-310.523,-95.9392,1,3
-235.198,-318.164,-56.9794,1,3
-229.106,-324.921,-46.3941,1,3
-222.193,-330.735,-45.8262,1,3
-215.868,-337.549,-45.713,1,3
-209.03,-344.105,-45.1197,1,3
-202.535,-350.656,-45.4186,1,3
-195.824,-357.095,-44.0417,1,3
-188.877,-363.782,-44.786,1,3
-179.833,-365.457,4.51226,1,3
-172.58,-359.226,47.4885,1,3
-166.148,-352.831,52.1033,1,3
-159.925,-345.92,49.0794,1,3
-154.478,-338.716,77.5357,1,3
-150.787,-330.469,48.302,1,3
-144.244,-323.782,40.3968,1,3
-139.107,-316.041,93.6966,1,3
-134.027,-308.389,58.7795,1,3
-134.428,-299.017,105.297,1,3
-131.885,-290.206,53.9061,1,3
-125.431,-283.732,41.1968,1,3
-118.596,-277.307,38.0009,1,3
-112.015,-270.785,44.5823,1,3
-104.955,-265.012,56.1068,1,3
