-93.634,-251.761,48.1191,1,3,0
-91.8385,-249.809,47.3006,1,3,0
-87.8385,-244.809,47.3006,1,3,0
-89.4994,-241.661,122.08,1,3,0
-95.5633,-234.805,132.258,1,3,0
-101.752,-228.175,134.091,1,3,0
-108.055,-221.705,134.785,1,3,0
-114.507,-215.341,135.256,1,3,0
-120.847,-208.826,135.483,1,3,0
-127.049,-202.214,132.614,1,3,0
-133.392,-195.528,131.381,1,3,0
-140.651,-190.033,154.56,1,3,0
-146.174,-185.232,138.75,1,3,0
-152.877,-179.104,133.575,1,3,0
-159.356,-172.793,134.218,1,3,0
-165.811,-166.507,135.318,1,3,0
-172.631,-160.532,141.179,1,3,0
-178.709,-153.86,123.434,1,3,0
-183.398,-146.072,97.6978,1,3,0
-174.445,-147.434,-48.0824,1,3,0
-168.314,-154.14,-45.7167,1,3,0
-161.89,-160.579,-39.6204,1,3,0
-155.243,-166.804,-47.1621,1,3,0
-149.103,-173.566,-50.0987,1,3,0
-142.383,-179.708,-50.2268,1,3,0
-137.102,-186.505,-46.3383,1,3,0
-130.858,-193.107,-47.1157,1,3,0
-124.498,-199.518,-46.9683,1,3,0
-118.176,-206.071,-45.7579,1,3,0
-111.752,-212.595,-48.5547,1,3,0
-105.486,-219.219,-47.1306,1,3,0
-99.7657,-226.179,-46.5054,1,3,0
-97.7713,-228.909,-51.2388,1,3,0
-91.0349,-235.086,-40.029,1,3,0
-86.526,-241.889,-101.4,1,3,0
-89.8562,-249.216,-133.846,1,3,0
